fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220907 213249	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	672	TRUE	0.0100425484420496	0.332835750972203	151	465	0.798956494557385	95
20220907 213335	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	689	TRUE	0.011123277706576	0.317797255795551	147	24	0.798870600078485	96
20220907 213358	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	365	TRUE	0.0187944380338534	0.40408886762483	244	502	0.799592037026308	97
20220907 213445	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	238	TRUE	0.0201282808855667	0.201376609186153	74	72	0.796127569864146	98
20220907 213450	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	100	TRUE	0.0823260166997441	0.925855834157389	360	512	0.795704626285455	99
20220907 213500	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	302	TRUE	0.0428562205766173	0.677738098621473	511	1021	0.797508250836703	100
20220907 213554	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	818	TRUE	0.0101282683466407	0.238364111631287	206	531	0.798488599271009	101
20220907 213608	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	961	TRUE	0.104135288326468	0.200881440153792	1701	1024	0.78066940116626	102
20220907 213614	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	482	TRUE	0.299566866266765	0.999506295933651	2158	1015	0.775338442466921	103
20220907 213655	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	2872	TRUE	0.0110709037024229	0.99959028637265	1210	1004	0.788914706542096	104
20220907 213728	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	2378	TRUE	0.0100772842516778	0.800675142819386	1151	115	0.789263904643479	105
20220907 213733	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	107	TRUE	0.15408108592871	0.200324049699463	502	192	0.797242141178916	106
20220907 213809	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1319	TRUE	0.0101232873577781	0.35365164822326	552	149	0.798978633541561	107
20220907 213850	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	2063	TRUE	0.0100679189799534	0.201681170024293	690	519	0.797092161484168	108
20220907 213926	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1471	TRUE	0.0101920525940556	0.32707370760649	570	1023	0.799193384424864	109
20220907 213930	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	124	TRUE	0.299405802791439	0.997441199997975	1406	1022	0.786326342200985	110
20220907 213940	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	318	TRUE	0.0415040743361367	0.349055592284819	527	889	0.79849625260171	111
20220907 214046	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	510	TRUE	0.0100613924405887	0.669177658543527	102	589	0.797621441622795	112
20220907 214048	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	32	TRUE	0.299517462118158	0.999858051436299	835	1019	0.788503236819056	113
20220907 214217	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	9614	TRUE	0.0155556626591396	0.999555426647352	2088	712	0.776999431086589	114
20220907 214227	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	198	TRUE	0.0413702280119146	0.999289536973552	491	10	0.794729810715621	115
20220907 214341	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	5214	TRUE	0.0101749686825986	0.366704492271232	1409	1004	0.788506826810013	116
